,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1281,35,1,303,Sales,27,3,Life Sciences,1797,3,1,84,3,2,Sales Executive,4,1,5813,13492,1,1,18,3,4,0,10,2,3,10,7,7,7,1
264,28,1,529,Research & Development,2,4,Life Sciences,364,1,1,79,3,1,Laboratory Technician,3,1,3485,14935,2,0,11,3,3,0,5,5,1,0,0,0,0,1
631,44,1,986,Research & Development,8,4,Life Sciences,874,1,1,62,4,1,Laboratory Technician,4,2,2818,5044,2,1,24,4,3,1,10,2,2,3,2,0,2,0
747,38,1,1035,Sales,3,4,Life Sciences,1036,2,1,42,3,2,Sales Executive,4,1,6861,4981,8,1,12,3,3,0,19,1,3,1,0,0,0,0
728,54,1,1441,Research & Development,17,3,Technical Degree,1013,3,0,56,3,3,Manufacturing Director,3,2,10739,13943,8,0,11,3,3,1,22,2,3,10,7,0,8,0
40,35,1,464,Research & Development,4,2,Other,53,3,1,75,3,1,Laboratory Technician,4,1,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0
936,45,2,364,Research & Development,25,3,Medical,1306,2,0,83,3,5,Manager,2,1,18061,13035,3,0,22,4,3,0,22,4,3,0,0,0,0,0
226,37,2,319,Sales,4,4,Marketing,311,1,1,41,3,1,Sales Representative,4,1,2793,2539,4,0,17,3,3,1,13,2,3,9,8,5,8,0
1074,33,1,516,Research & Development,8,5,Life Sciences,1515,4,1,69,3,2,Healthcare Representative,3,1,6388,22049,2,1,17,3,1,0,14,6,3,0,0,0,0,0
1086,50,2,333,Research & Development,22,5,Medical,1539,3,1,88,1,4,Research Director,4,1,14411,24450,1,1,13,3,4,0,32,2,3,32,6,13,9,0
195,37,1,290,Research & Development,21,3,Life Sciences,267,2,1,65,4,1,Research Scientist,1,2,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,0
677,49,1,527,Research & Development,8,2,Other,944,1,0,51,3,3,Laboratory Technician,2,2,7403,22477,4,0,11,3,3,1,29,3,2,26,9,1,7,0
1342,34,1,1480,Sales,4,3,Life Sciences,1882,3,1,64,3,3,Sales Executive,4,2,9713,24444,2,1,13,3,4,3,9,3,3,5,3,1,0,0
906,34,1,1320,Research & Development,20,3,Technical Degree,1265,3,0,89,4,1,Research Scientist,3,2,2585,21643,0,0,17,3,4,0,2,5,2,1,0,0,0,0
1349,26,1,482,Research & Development,1,2,Life Sciences,1893,2,0,90,2,1,Research Scientist,3,2,2933,14908,1,1,13,3,3,1,1,3,2,1,0,1,0,0
1331,48,1,1224,Research & Development,10,3,Life Sciences,1867,4,1,91,2,5,Research Director,2,2,19665,13583,4,0,12,3,4,0,29,3,3,22,10,12,9,0
237,52,0,771,Sales,2,4,Life Sciences,329,1,1,79,2,5,Manager,3,1,19068,21030,1,1,18,3,4,0,33,2,4,33,7,15,12,0
1451,38,1,345,Sales,10,2,Life Sciences,2041,1,0,100,3,2,Sales Executive,4,2,5343,5982,1,0,11,3,3,1,10,1,3,10,7,1,9,0
1065,55,1,1229,Research & Development,4,4,Life Sciences,1501,4,1,30,3,2,Healthcare Representative,3,2,4035,16143,0,1,16,3,2,0,4,2,3,3,2,1,2,0
378,34,0,1362,Sales,19,3,Marketing,502,1,1,67,4,2,Sales Executive,4,1,5304,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,1
1280,37,1,1239,Human Resources,8,2,Other,1794,3,1,89,3,2,Human Resources,2,1,4071,12832,2,0,13,3,3,0,19,4,2,10,0,4,7,0
1031,46,1,377,Sales,9,3,Marketing,1457,1,1,52,3,3,Sales Executive,4,1,10096,15986,4,0,11,3,1,1,28,1,4,7,7,4,3,1
1014,31,1,182,Research & Development,8,5,Life Sciences,1430,1,0,93,3,4,Research Director,2,1,16422,8847,3,0,11,3,3,0,9,3,4,3,2,1,0,0
210,32,1,1045,Sales,4,4,Medical,291,4,1,32,1,3,Sales Executive,4,2,10400,25812,1,0,11,3,3,0,14,2,2,14,8,9,8,1
653,50,0,881,Research & Development,2,4,Life Sciences,905,1,1,98,3,4,Manager,1,1,17924,4544,1,0,11,3,4,1,31,3,3,31,6,14,7,0
1037,45,1,1448,Research & Development,29,3,Technical Degree,1465,2,1,55,3,3,Manufacturing Director,4,2,9380,14720,4,1,18,3,4,2,10,4,4,3,1,1,2,0
267,25,0,675,Research & Development,5,2,Life Sciences,369,2,1,85,4,2,Healthcare Representative,1,1,4000,18384,1,0,12,3,4,2,6,2,3,6,3,1,5,0
1007,29,2,337,Research & Development,14,1,Other,1421,3,0,84,3,3,Healthcare Representative,4,1,7553,22930,0,1,12,3,1,0,9,1,3,8,7,7,7,1
219,54,1,1147,Sales,3,3,Marketing,303,4,0,52,3,2,Sales Executive,1,2,5940,17011,2,0,14,3,4,1,16,4,3,6,2,0,5,0
603,45,1,252,Research & Development,2,3,Life Sciences,834,2,0,95,2,1,Research Scientist,3,1,2274,6153,1,0,14,3,4,0,1,3,3,1,0,0,0,0
685,26,2,1283,Sales,1,3,Medical,956,3,1,52,2,2,Sales Executive,1,1,4294,11148,1,0,12,3,2,0,7,2,3,7,7,0,7,0
121,33,0,750,Sales,22,2,Marketing,160,3,1,95,3,2,Sales Executive,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,0
706,40,0,1479,Sales,24,3,Life Sciences,986,2,0,100,4,4,Sales Executive,2,1,13194,17071,4,1,16,3,4,0,22,2,2,1,0,0,0,1
557,35,0,1225,Research & Development,2,4,Life Sciences,771,4,0,61,3,2,Healthcare Representative,1,1,5093,4761,2,0,11,3,1,1,16,2,4,1,0,0,0,0
751,50,0,145,Sales,1,3,Life Sciences,1040,4,0,95,3,2,Sales Executive,3,2,6347,24920,0,0,12,3,1,1,19,3,3,18,7,0,13,0
1430,38,1,201,Research & Development,10,3,Medical,2015,2,0,99,1,3,Research Director,3,2,13206,3376,3,0,12,3,1,1,20,3,3,18,16,1,11,0
1229,40,1,369,Research & Development,8,2,Life Sciences,1724,2,0,92,3,2,Manufacturing Director,1,2,6516,5041,2,1,16,3,2,1,18,3,3,1,0,0,0,0
321,31,1,691,Sales,7,3,Marketing,438,4,1,73,3,2,Sales Executive,4,1,7547,7143,4,0,12,3,4,3,13,3,3,7,7,1,7,0
309,31,1,691,Research & Development,5,4,Technical Degree,423,3,1,86,3,1,Research Scientist,4,2,4821,10077,0,1,12,3,3,1,6,4,3,5,2,0,3,0
959,40,1,523,Research & Development,2,3,Life Sciences,1346,3,1,98,3,2,Research Scientist,4,1,4661,22455,1,0,13,3,3,0,9,4,3,9,8,8,8,0
460,26,1,775,Sales,29,2,Medical,618,1,1,45,3,2,Sales Executive,3,1,4306,4267,5,0,12,3,1,2,8,5,3,0,0,0,0,0
393,34,0,1381,Sales,4,4,Marketing,523,3,0,72,3,2,Sales Executive,3,2,6538,12740,9,0,15,3,1,1,6,3,3,3,2,1,2,0
72,31,1,1082,Research & Development,1,4,Medical,95,3,1,87,3,1,Research Scientist,2,1,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0
772,56,2,1240,Research & Development,9,3,Medical,1071,1,0,63,3,1,Research Scientist,3,2,2942,12154,2,0,19,3,2,1,18,4,3,5,4,0,3,0
902,27,1,1167,Research & Development,4,2,Life Sciences,1259,1,1,76,3,1,Research Scientist,3,1,2517,3208,1,0,11,3,2,3,5,2,3,5,3,0,3,0
207,36,2,635,Research & Development,18,1,Medical,286,2,0,73,3,1,Laboratory Technician,4,1,2153,7703,1,0,13,3,1,0,8,2,3,8,1,1,7,0
1392,35,1,1224,Sales,7,4,Life Sciences,1962,3,0,55,3,2,Sales Executive,4,2,5204,13586,1,1,11,3,4,0,10,2,3,10,8,0,9,0
